Country,Brannd,Model,Storage Variant,Color 1,Color 2,Color 3,Color 4,Color 5,Color 6,Color 7,Color 8,Color 9,Color 10,Color 11,Color 12,Color 13,Color 14
CZech Republic,Samsung,A53,256 GB,Awesome Black,Awesome Blue,Awesome Peach,Awesome White,,,,,,,,,,
CZech Republic,Samsung,A54,128 GB,Black,Light Green,Light Purple,Silver,,,,,,,,,,
CZech Republic,Samsung,A54,256 GB,Awesome Lime,Black,Light Green,Light Purple,Silver,,,,,,,,,
CZech Republic,Apple,i12,128 GB,Black,Blue,Green,Purple,Red,White,,,,,,,,
CZech Republic,Apple,i12,256 GB,Black,Blue,Green,Purple,Red,White,,,,,,,,
CZech Republic,Apple,i12,64 GB,Black,Blue,Green,Purple,Red,White,,,,,,,,
CZech Republic,Apple,i12 Mini,128 GB,Black,Blue,Green,Purple,Red,White,,,,,,,,
CZech Republic,Apple,i12 Mini,256 GB,Black,Blue,Green,Purple,Red,White,,,,,,,,
CZech Republic,Apple,i12 Mini,64 GB,Black,Blue,Green,Purple,Red,White,,,,,,,,
CZech Republic,Apple,i12 Pro,128 GB,Gold,Graphite Grey,Pacific Blue,Silver,,,,,,,,,,
CZech Republic,Apple,i12 Pro,256 GB,Gold,Graphite Grey,Pacific Blue,Silver,,,,,,,,,,
CZech Republic,Apple,i12 Pro,512 GB,Gold,Graphite Grey,Pacific Blue,Silver,,,,,,,,,,
CZech Republic,Apple,i12 Pro Max,128 GB,Gold,Graphite Grey,Pacific Blue,Silver,,,,,,,,,,
CZech Republic,Apple,i12 Pro Max,256 GB,Gold,Graphite Grey,Pacific Blue,Silver,,,,,,,,,,
CZech Republic,Apple,i12 Pro Max,512 GB,Gold,Graphite Grey,Pacific Blue,Silver,,,,,,,,,,
CZech Republic,Apple,i13,128 GB,(PRODUCT) RED,Black,Blue,Green,Midnight,Pink,Red,Star white,Starlight,,,,,
CZech Republic,Apple,i13,256 GB,(PRODUCT) RED,Black,Blue,Green,Midnight,Pink,Red,Star white,Starlight,,,,,
CZech Republic,Apple,i13,512 GB,(PRODUCT) RED,Black,Blue,Green,Midnight,Pink,Red,Star white,Starlight,,,,,
CZech Republic,Apple,i13 Mini,128 GB,Black,Blue,Green,Pink,Red,Star white,,,,,,,,
CZech Republic,Apple,i13 Mini,256 GB,Black,Blue,Green,Pink,Red,Star white,,,,,,,,
CZech Republic,Apple,i13 Mini,512 GB,Black,Blue,Green,Pink,Red,Star white,,,,,,,,
CZech Republic,Apple,i13 Pro,1 TB,Alpine Green,Gold,Graphite Grey,mountain blue,Silver,,,,,,,,,
CZech Republic,Apple,i13 Pro,128 GB,Alpine Green,Gold,Graphite Grey,mountain blue,Silver,,,,,,,,,
CZech Republic,Apple,i13 Pro,256 GB,Alpine Green,Gold,Graphite Grey,mountain blue,Silver,,,,,,,,,
CZech Republic,Apple,i13 Pro,512 GB,Alpine Green,Gold,Graphite Grey,mountain blue,Silver,,,,,,,,,
CZech Republic,Apple,i13 Pro Max,1 TB,Alpine Green,Gold,Graphite Grey,mountain blue,Silver,,,,,,,,,
CZech Republic,Apple,i13 Pro Max,128 GB,Alpine Green,Gold,Graphite Grey,mountain blue,Silver,,,,,,,,,
CZech Republic,Apple,i13 Pro Max,256 GB,Alpine Green,Gold,Graphite Grey,mountain blue,Silver,,,,,,,,,
CZech Republic,Apple,i13 Pro Max,512 GB,Alpine Green,Gold,Graphite Grey,mountain blue,Silver,,,,,,,,,
CZech Republic,Apple,i14,128 GB,(PRODUCT) RED,Black,Blue,Dark Ink,Midnight,PRODUCT (Red),Purple,Red,Star white,Starlight,White,Yellow,,
CZech Republic,Apple,i14,256 GB,(PRODUCT) RED,Black,Blue,Dark Ink,Midnight,PRODUCT (Red),Purple,Red,Star white,Starlight,White,Yellow,,
CZech Republic,Apple,i14,512 GB,(PRODUCT) RED,Black,Blue,Dark Ink,Midnight,PRODUCT (Red),Purple,Red,Star white,Starlight,White,Yellow,,
CZech Republic,Apple,i14 Plus,128 GB,(PRODUCT) RED,Black,Blue,Dark Ink,Midnight,PRODUCT (Red),Purple,Red,Star white,Starlight,White,Yellow,,
CZech Republic,Apple,i14 Plus,256 GB,(PRODUCT) RED,Black,Blue,Dark Ink,Midnight,PRODUCT (Red),Purple,Red,Star white,Starlight,White,Yellow,,
CZech Republic,Apple,i14 Plus,512 GB,(PRODUCT) RED,Black,Blue,Dark Ink,Midnight,PRODUCT (Red),Purple,Red,Star white,Starlight,White,Yellow,,
CZech Republic,Apple,i14 Pro,1 TB,Dark Purple,Gold,Silver,Space Black,,,,,,,,,,
CZech Republic,Apple,i14 Pro,128 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,,,,
CZech Republic,Apple,i14 Pro,256 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,,,,
CZech Republic,Apple,i14 Pro,512 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,,,,
CZech Republic,Apple,i14 Pro Max,1 TB,Dark Purple,Gold,Silver,Space Black,,,,,,,,,,
CZech Republic,Apple,i14 Pro Max,128 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,,,,
CZech Republic,Apple,i14 Pro Max,256 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,,,,
CZech Republic,Apple,i14 Pro Max,512 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,,,,
CZech Republic,Apple,i15,128 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
CZech Republic,Apple,i15,256 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
CZech Republic,Apple,i15,512 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
CZech Republic,Apple,i15 Plus,128 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
CZech Republic,Apple,i15 Plus,256 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
CZech Republic,Apple,i15 Plus,512 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
CZech Republic,Apple,i15 Pro,1 TB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
CZech Republic,Apple,i15 Pro,128 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
CZech Republic,Apple,i15 Pro,256 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
CZech Republic,Apple,i15 Pro,512 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
CZech Republic,Apple,i15 Pro Max,1 TB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
CZech Republic,Apple,i15 Pro Max,256 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
CZech Republic,Apple,i15 Pro Max,512 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
CZech Republic,Apple,iSE2,128 GB,Black,Red,Star white,,,,,,,,,,,
CZech Republic,Apple,iSE2,64 GB,Black,Red,Star white,,,,,,,,,,,
CZech Republic,Apple,iSE3,128 GB,(PRODUCT) RED,Black,Midnight,Red,Star white,Starlight,,,,,,,,
CZech Republic,Apple,iSE3,256 GB,(PRODUCT) RED,Black,Midnight,Red,Star white,Starlight,,,,,,,,
CZech Republic,Apple,iSE3,64 GB,(PRODUCT) RED,Black,Midnight,Red,Star white,Starlight,,,,,,,,
CZech Republic,Samsung,S21,128 GB,Phantom Grey,Phantom Pink,Phantom Violet,Phantom White,,,,,,,,,,
CZech Republic,Samsung,S21,256 GB,Phantom Grey,Phantom Pink,Phantom Violet,Phantom White,,,,,,,,,,
CZech Republic,Samsung,S21 Ultra,128 GB,Phantom Black,Phantom Silver,,,,,,,,,,,,
CZech Republic,Samsung,S21 Ultra,256 GB,Phantom Black,Phantom Silver,,,,,,,,,,,,
CZech Republic,Samsung,S21+,128 GB,Phantom Black,Phantom Silver,Phantom Violet,,,,,,,,,,,
CZech Republic,Samsung,S21+,256 GB,Phantom Black,Phantom Silver,Phantom Violet,,,,,,,,,,,
CZech Republic,Samsung,S22,128 GB,Bora Purple,Green,Phantom Black,Phantom White,Pink Gold,,,,,,,,,
CZech Republic,Samsung,S22,256 GB,Bora Purple,Green,Phantom Black,Phantom White,Pink Gold,,,,,,,,,
CZech Republic,Samsung,S22 Ultra,128 GB,Burgundy,Green,Phantom Black,Phantom White,,,,,,,,,,
CZech Republic,Samsung,S22 Ultra,256 GB,Burgundy,Green,Phantom Black,Phantom White,,,,,,,,,,
CZech Republic,Samsung,S22 Ultra,512 GB,Burgundy,Green,Phantom Black,Phantom White,,,,,,,,,,
CZech Republic,Samsung,S23,128 GB,Cream,Green,Lavender,Phantom Black,,,,,,,,,,
CZech Republic,Samsung,S23,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,,,,
CZech Republic,Samsung,S23 FE,128 GB,Cream,Graphite,Orange,Purple,Years,,,,,,,,,
CZech Republic,Samsung,S23 FE,256 GB,Cream,Graphite,Purple,Years,,,,,,,,,,
CZech Republic,Samsung,S23 Ultra,1 TB,Cream,Green,Lavender,Phantom Black,,,,,,,,,,
CZech Republic,Samsung,S23 Ultra,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,,,,
CZech Republic,Samsung,S23 Ultra,512 GB,Cream,Green,Lavender,Phantom Black,,,,,,,,,,
CZech Republic,Samsung,S23+,256 GB,Cream,Green,Lavender,Phantom Black,Phantom White,Pink Gold,,,,,,,,
CZech Republic,Samsung,S23+,512 GB,Cream,Green,Lavender,Phantom Black,Phantom White,Pink Gold,,,,,,,,
CZech Republic,Samsung,S24,128 GB,Amber Yellow,Cobalt Violet,Jade Green,Marble Grey,Onyx Black,Sandstone Orange,Sapphire Blue,,,,,,,
CZech Republic,Samsung,S24,256 GB,Amber Yellow,Cobalt Violet,Jade Green,Marble Grey,Onyx Black,Sandstone Orange,Sapphire Blue,,,,,,,
CZech Republic,Samsung,S24 Ultra,1 TB,Titanium Black,Titanium Grey,Titanium Violet,Titanium Yellow,,,,,,,,,,
CZech Republic,Samsung,S24 Ultra,256 GB,Titanium Black,Titanium Grey,Titanium Violet,Titanium Yellow,,,,,,,,,,
CZech Republic,Samsung,S24 Ultra,512 GB,Titanium Black,Titanium Grey,Titanium Violet,Titanium Yellow,,,,,,,,,,
CZech Republic,Samsung,S24+,256 GB,Amber Yellow,Cobalt Violet,Jade Green,Marble Grey,Onyx Black,Sandstone Orange,Sapphire Blue,,,,,,,
CZech Republic,Samsung,S24+,512 GB,Amber Yellow,Cobalt Violet,Jade Green,Marble Grey,Onyx Black,Sandstone Orange,Sapphire Blue,,,,,,,
CZech Republic,Samsung,Z Flip4,128 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,,,,
CZech Republic,Samsung,Z Flip4,256 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,,,,
CZech Republic,Samsung,Z Flip4,512 GB,Blue,Bora Purple,Graphite,Pink Gold,,,,,,,,,,
CZech Republic,Samsung,Z Flip5,256 GB,Cream,Graphite,Lavender,2,,,,,,,,,,
CZech Republic,Samsung,Z Flip5,512 GB,Cream,Graphite,Lavender,Mint,,,,,,,,,,
CZech Republic,Samsung,Z Fold3,256 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,,,,
CZech Republic,Samsung,Z Fold3,512 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,,,,
CZech Republic,Samsung,Z Fold4,1 TB,Beige,Grey Green,Phantom Black,,,,,,,,,,,
CZech Republic,Samsung,Z Fold4,256 GB,Beige,Grey Green,Phantom Black,,,,,,,,,,,
CZech Republic,Samsung,Z Fold4,512 GB,Beige,Grey Green,Phantom Black,,,,,,,,,,,
CZech Republic,Samsung,Z Fold5,1 TB,Cream,Icy Blue,Phantom Black,,,,,,,,,,,
CZech Republic,Samsung,Z Fold5,256 GB,Cream,Icy Blue,Phantom Black,,,,,,,,,,,
CZech Republic,Samsung,Z Fold5,512 GB,Cream,Icy Blue,Phantom Black,,,,,,,,,,,
Denmark,Samsung,A34,128 GB,Awesome Graphite,Awesome Lime,Awesome Silver,Awesome Violet,Graphite,Lime,Violet,White,,,,,,
Denmark,Samsung,A34,256 GB,Awesome Graphite,Awesome Lime,Awesome Silver,Awesome Violet,Graphite,Lime,Violet,White,,,,,,
Denmark,Samsung,A54,128 GB,Awesome Graphite,Awesome Lime,Awesome Violet,Awesome White,Graphite,Lime,Violet,White,,,,,,
Denmark,Samsung,A54,256 GB,Awesome Graphite,Awesome Lime,Awesome Violet,Awesome White,Graphite,Lime,Violet,White,,,,,,
Denmark,Apple,i13,128 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Polaris,Red,Rose,Starburst,Starlight,,,,
Denmark,Apple,i13,256 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Polaris,Red,Rose,Starburst,Starlight,,,,
Denmark,Apple,i13,512 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Polaris,Red,Rose,Starburst,Starlight,,,,
Denmark,Apple,i13 Mini,128 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starburst,,,,,,,,
Denmark,Apple,i13 Mini,256 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starburst,,,,,,,,
Denmark,Apple,i13 Mini,512 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starburst,,,,,,,,
Denmark,Apple,i13 Pro,1 TB,Blue,Gold,Graphite Grey,Green,Silver,,,,,,,,,
Denmark,Apple,i13 Pro,128 GB,Blue,Gold,Graphite Grey,Green,Silver,,,,,,,,,
Denmark,Apple,i13 Pro,256 GB,Blue,Gold,Graphite Grey,Green,Silver,,,,,,,,,
Denmark,Apple,i13 Pro,512 GB,Blue,Gold,Graphite Grey,Green,Silver,,,,,,,,,
Denmark,Apple,i13 Pro Max,1 TB,Blue,Gold,Graphite Grey,Green,Silver,,,,,,,,,
Denmark,Apple,i13 Pro Max,128 GB,Blue,Gold,Graphite Grey,Green,Silver,,,,,,,,,
Denmark,Apple,i13 Pro Max,256 GB,Blue,Gold,Graphite Grey,Green,Silver,,,,,,,,,
Denmark,Apple,i13 Pro Max,512 GB,Blue,Gold,Graphite Grey,Green,Silver,,,,,,,,,
